Year,Country,Grain_Type,Import_Value_USD_Millions,Country_Share_Pct,Supplier_USA_Pct,Supplier_Argentina_Pct,Supplier_Brazil_Pct,Supplier_Other_Pct
2020,Colombia,Corn,1289,44.8,56.5,26.2,11.5,5.8
2020,Colombia,Wheat,556,38.5,40.8,37.2,15.8,6.2
2020,Colombia,Soybeans,389,41.8,46.5,34.2,13.2,6.1
2020,Peru,Total,1512,28.8,46.8,32.5,15.4,5.3
2020,Peru,Corn,878,30.5,52.8,28.8,13.1,5.3
2020,Peru,Wheat,412,28.5,36.8,37.8,19.2,6.2
2020,Peru,Soybeans,222,23.8,44.2,36.2,14.8,4.8
2020,Ecuador,Total,923,17.6,44.2,33.8,16.1,5.9
2020,Ecuador,Corn,534,18.5,50.5,29.8,13.1,6.6
2020,Ecuador,Wheat,234,16.2,34.8,39.8,19.5,5.9
2020,Ecuador,Soybeans,155,16.6,40.5,37.2,16.5,5.8
2020,Bolivia,Total,587,11.2,36.5,44.2,13.2,6.1
2020,Bolivia,Corn,178,6.2,40.5,39.8,14.1,5.6
2020,Bolivia,Wheat,243,16.8,30.5,50.2,13.1,6.2
2020,Bolivia,Soybeans,166,17.8,35.8,46.8,11.5,5.9
2021,Colombia,Total,2534,42.8,49.8,30.8,13.5,5.9
2021,Colombia,Corn,1478,45.2,55.8,26.8,11.8,5.6
2021,Colombia,Wheat,612,38.8,40.2,37.8,16.1,5.9
2021,Colombia,Soybeans,444,42.2,45.8,34.8,13.5,5.9
2021,Peru,Total,1712,29.0,46.2,32.8,15.8,5.2
2021,Peru,Corn,987,30.2,52.2,29.2,13.4,5.2
2021,Peru,Wheat,467,29.6,36.2,38.2,19.5,6.1
2021,Peru,Soybeans,258,24.5,43.5,36.5,15.2,4.8
2021,Ecuador,Total,1034,17.5,43.5,34.2,16.5,5.8
2021,Ecuador,Corn,598,18.3,49.8,30.2,13.5,6.5
2021,Ecuador,Wheat,267,16.9,34.2,40.2,19.8,5.8
2021,Ecuador,Soybeans,169,16.1,39.8,37.8,16.8,5.6
2021,Bolivia,Total,634,10.7,35.8,44.8,13.5,5.9
2021,Bolivia,Corn,206,6.3,39.8,40.2,14.5,5.5
2021,Bolivia,Wheat,254,16.1,29.8,50.8,13.5,5.9
2021,Bolivia,Soybeans,174,16.5,34.8,47.2,12.1,5.9
